barcode,location,author,title,publisher_code,status
32041,ME:EST,GOPAL K DUBEY,Fundamentals Of Electrical Drives,NAROSAPUBLISHINGHOUSEPVT.LTD.,Available
32042,ME:EST,DIMITRI BERTSEKAS,Data Networks,PREENTICE-HALLOFINDIAPRIVATELIMITED,Available
32043,ME:EST,GEORAGE J KLIR,"FUZZY SETS, UNCERTAINITY AND INFORMATION",PRENTCIE-HALLOFINDIA,Not for loan
32044,ME:EST,BART KOSKO,NEURAL NETWORKS AND FUZZY SYSTEMS,PRENTICEHALLOFINDIA,Available
32045,ME:EST,R KRISHNAN,ELECTRIC MOTOR DRIVES,PRENTICEHALLOFINDIAPRIVATELIMITED,Not for loan
32046,ME:EST,JOHN G DROAKIS,DIGITAL SIGNAL PROCESSING,PREENTICE-HALLOFINDIAPRIVATELIMITED,Available
32048,ME:EST,ANDREW S TANENBAUM,COMPUTER NETWOKS,PREENTICE-HALLOFINDIAPRIVATELIMITED,Not for loan
32049,ME:EST,WAMAN S JAWADEKAR,SOFTWARE ENGINEERING,TATAMCGRAW-HILL,Not for loan
32050,ME:EST,PEYTON Z PEEBLES,PROBABILITY RANDOM VARIABLES AND RANDOM SIGNAL PRINCIPLES,TATAMCGRAW-HILL,Not for loan
32051,ME:EST,VEDAM SUBRAMANUAM,ELECTRIC DRIVES,TATAMCGRAWHILLPUBLISHINGCOM.LTD,Available
32052,ME:EST,PREM KUMAR GUPTA,OPERATIONS RESCARCH,SCHAND&CO,Available
32053,ME:EST,RICHARD E FAIRLEY,SOFTWARE ENGINEERING CONCEPTS,TATAMCGRAW-HILL,Not for loan
32054,ME:EST,IAN SOMMERVILLE,Software Engineering,PEARSIONEDUCATION,Available
32055,ME:EST,FANG LIN LUO,DIGITAL POWER ELECTRONICS AND APPLOICATIONS,ACADEMICPRESS,Not for loan
32056,ME:EST,ROBERT W ERICKSON,FUNDAMENTALS OF POWER ELECTRONICS,SPRINGERPUB,Available
32057,ME:EST,PETER P SILVESTER,FINITE ELEMENTS FOR ELECTRICAL ENGINEERINGS,CAMBRIDGEUNIVERSITYPRESS,Not for loan
32058,ME:EST,B JAYANT BALIGA,POWER SEMICONDUCTOR DEVICES,THOMPSON,Not for loan
32059,ME:EST,PAULO S R DINIZ,DIGITAL SIGNAL  PROCESSING,CAMBRIDGEUNIVERSITYPRESS,Not for loan
32060,ME:EST,M GOPAL,DIGITAL CONTROL ENGINEERING,NEWAGEINTERNATIOALPUBLISHERS,Not for loan
32061,ME:EST,M S NAIDU,High Voltage Engineering,TATAMCGRAW-HILL,Not for loan
32062,ME:EST,I J NAGARATH,Systems Modelling And Analysis,TATAMCGRAW-HILLPUBLISHINGCOM.LTD,Not for loan
32063,ME:EST,JOHN YEN AND REZA LANGARI,FUZZY LOGIC,PEARSONEDUCATION,Not for loan
32064,ME:EST,TIMOTHY J ROSS,FUZZY LOGIC WITH ENGINEERING APPLICATIONS,MCGRAW-HILL,Not for loan
